qsen_statement_id,source_workbook,source_sheet,source_row,qsen_domain_raw,qsen_domain_name,ksa_raw,qsen_statement_raw,qsen_statement_normalized,aacn_codes_raw,aacn_subcompetency_codes,aacn_subcompetency_count,malformed_aacn_code_count
QSEN_0001,Prelicensure Workbook.xlsx,Entry Level,6,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,"Integrate understanding of multiple dimensions of patient centered care: patient/family/community preferences, values coordination and integration of care, information, communication, and education physical comfort and emotional support, involvement of family and friends, transition and continuity",integrate understanding of multiple dimensions of patient centered care patient family community preferences values coordination and integration of care information communication and education physical comfort and emotional support involvement of family and friends transition and continuity,"F6: 1.3c; G6: 2.1c; I6: 2.3c, 2.3f; J6: 2.4a, 2.4c; K6: 2.5g; M6: 2.7a; N6: 2.8d; O6: 2.9a; P6: 3.1c; AO6: 9.2b, 9.2c; AR6: 9.5b",1.3c; 2.1c; 2.3c; 2.3f; 2.4a; 2.4c; 2.5g; 2.7a; 2.8d; 2.9a; 3.1c; 9.2b; 9.2c; 9.5b,14,0
QSEN_0002,Prelicensure Workbook.xlsx,Entry Level,7,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,"Describe how diverse cultural, ethnic and social backgrounds function as sources of patient, family, and community values",describe how diverse cultural ethnic and social backgrounds function as sources of patient family and community values,"E7: 1.2c; I7: 2.3f; K7: 2.5g; N7: 2.8e; P7: 3.1c; AO7: 9.2d, 9.2e; AS7: 9.6a",1.2c; 2.3f; 2.5g; 2.8e; 3.1c; 9.2d; 9.2e; 9.6a,8,0
QSEN_0003,Prelicensure Workbook.xlsx,Entry Level,8,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,"Demonstrate comprehensive understanding of the concepts of pain and suffering, including physiologic models of pain and comfort.",demonstrate comprehensive understanding of the concepts of pain and suffering including physiologic models of pain and comfort,F8: 1.3b; AR8: 9.5e,1.3b; 9.5e,2,0
QSEN_0004,Prelicensure Workbook.xlsx,Entry Level,9,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,"Examine how the safety, quality and cost effectiveness of health care can be improved through the active involvement of patients and families",examine how the safety quality and cost effectiveness of health care can be improved through the active involvement of patients and families,E9: 1.2c; N9: 2.8e; Y9: 5.1f; AG9: 7.2e,1.2c; 2.8e; 5.1f; 7.2e,4,0
QSEN_0005,Prelicensure Workbook.xlsx,Entry Level,10,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Examine common barriers to active involvement of patients in their own health care processes,examine common barriers to active involvement of patients in their own health care processes,"E10: 1.2c; K10: 2.5b, 2.5g; N10: 2.8e; AG10: 7.2b; AH10: 7.3d; AN10: 9.1g",1.2c; 2.5b; 2.5g; 2.8e; 7.2b; 7.3d; 9.1g,7,0
QSEN_0006,Prelicensure Workbook.xlsx,Entry Level,11,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Describe strategies to empower patients or families in all aspects of the health care process,describe strategies to empower patients or families in all aspects of the health care process,"E11: 1.2e; H11: 2.2a; I11: 2.3a; K11: 2.5a, 2.5g; N11: 2.8d, 2.8e; O11: 2.9a, 2.9c; AG11: 7.2b; AH11: 7.3d; AN11: 9.1g; AP11: 9.3a; AR11: 9.5b, 9.5e",1.2e; 2.2a; 2.3a; 2.5a; 2.5g; 2.8d; 2.8e; 2.9a; 2.9c; 7.2b; 7.3d; 9.1g; 9.3a; 9.5b; 9.5e,15,0
QSEN_0007,Prelicensure Workbook.xlsx,Entry Level,12,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Explore ethical and legal implications of patient-centered care,explore ethical and legal implications of patient centered care,E12: 1.2e; P12: 3.1i; AB12: 6.1f; AM12: 8.5c; AN12: 9.1a,1.2e; 3.1i; 6.1f; 8.5c; 9.1a,5,0
QSEN_0008,Prelicensure Workbook.xlsx,Entry Level,13,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Discuss principles of effective communication,discuss principles of effective communication,"H13: 2.2b, 2.2c; O13: 2.9b, 2.9e; AB13: 6.1b; AE13: 6.4c; AO13: 9.2g",2.2b; 2.2c; 2.9b; 2.9e; 6.1b; 6.4c; 9.2g,7,0
QSEN_0009,Prelicensure Workbook.xlsx,Entry Level,14,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Describe basic principles of consensus building and conflict resolution,describe basic principles of consensus building and conflict resolution,H14: 2.2d; K14: 2.5a; O14: 2.9e; AB14: 6.1b; AC14: 6.2a; AE14: 6.4c,2.2d; 2.5a; 2.9e; 6.1b; 6.2a; 6.4c,6,0
QSEN_0010,Prelicensure Workbook.xlsx,Entry Level,15,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,"Examine nursing roles in assuring coordination, integration, and continuity of care",examine nursing roles in assuring coordination integration and continuity of care,"O15: 2.9e; AB15: 6.1a; AC15: 6.2a, 6.2c; AD15: 6.3a, 6.3b, 6.3c; AF15: 7.1d",2.9e; 6.1a; 6.2a; 6.2c; 6.3a; 6.3b; 6.3c; 7.1d,8,0
QSEN_0011,Prelicensure Workbook.xlsx,Entry Level,16,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Describe process of reflective practice,describe process of reflective practice,AU16: 10.2a,10.2a,1,0
QSEN_0012,Prelicensure Workbook.xlsx,Entry Level,17,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Knowledge,Describe the limits and boundaries of therapeutic patient-centered care**,describe the limits and boundaries of therapeutic patient centered care,G17: 2.1c; H17: 2.2a; AB17: 6.1f; AO17: 9.2f,2.1c; 2.2a; 6.1f; 9.2f,4,0
QSEN_0013,Prelicensure Workbook.xlsx,Entry Level,18,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",elicit patient values preferences and expressed needs as part of clinical interview diagnosis implementation of care plan and evaluation of care,"G18: 2.1b, 2.1c; K18: 2.5b, 2.5g; N18: 2.8d, 2.8e; O18: 2.9a; AO18: 9.2a, 9.2b, 9.2c; AR18: 9.5b, 9.5c; AS18: 9.6a",2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,13,0
QSEN_0014,Prelicensure Workbook.xlsx,Entry Level,19,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Communicate patient values, preferences and expressed needs to other members of health care team**",communicate patient values preferences and expressed needs to other members of health care team,"G19: 2.1b; I19: 2.3g; J19: 2.4e; K19: 2.5a, 2.5b. 2.5g; N19: 2.8d; AB19: 6.1b; AO19: 9.2g; AR19: 9.5b",2.1b; 2.3g; 2.4e; 2.5a; 2.5b; 2.5g; 2.8d; 6.1b; 9.2g; 9.5b,10,0
QSEN_0015,Prelicensure Workbook.xlsx,Entry Level,20,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Assess presence and extent of pain and suffering,assess presence and extent of pain and suffering,"G20: 2.1a, 2.1b; I20: 2.3c; M20: 2.7a",2.1a; 2.1b; 2.3c; 2.7a,4,0
QSEN_0016,Prelicensure Workbook.xlsx,Entry Level,21,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Assess levels of physical and emotional comfort,assess levels of physical and emotional comfort,G21: 2.1b; I21: 2.3c; M21: 2.7a,2.1b; 2.3c; 2.7a,3,0
QSEN_0017,Prelicensure Workbook.xlsx,Entry Level,22,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Elicit expectations of patient & family for relief of pain, discomfort, or suffering",elicit expectations of patient and family for relief of pain discomfort or suffering,"G22: 2.1c; I22: 2.3a; K22: 2.5a, 2.5g; M22: 2.7a; AO22: 9.2c; AR22: 9.5b",2.1c; 2.3a; 2.5a; 2.5g; 2.7a; 9.2c; 9.5b,7,0
