module_number,concept,v1_status,v1_top,v1_filler_count,v2_mapping_status,v2_confidence,v2_top_qsen_statement_id,v2_top_qsen_statement_text,v2_top_qsen_domain,v2_top_qsen_ksa,v2_top_aacn_subcompetency_codes,v2_alternate_qsen_statement_ids,v2_candidate_set,v2_rationale,v2_review_notes,v2_validation_errors,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-003,Administer non-intravenous medications.,insufficient_evidence,,10,draft_mapping,medium,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0160; QSEN_0150; QSEN_0191,QSEN_0158; QSEN_0160; QSEN_0150; QSEN_0191; QSEN_0149; QSEN_0175; QSEN_0187; QSEN_0152; QSEN_0162; QSEN_0172; QSEN_0169; QSEN_0099,Safe medication administration is the use of standardized practices and supporting technology to protect safety and quality. The candidate set now contains the Safety skill family the lexical matcher never reached.,v1 could not be drafted: 10 of 12 candidates were score-0.00 filler. Reviewer should confirm whether the administration act or the monitoring-for-reactions half of the task is the intended anchor; QSEN_0175 covers the second half.,,,,,
RN-WPS-008,Assist healthcare practitioners during examinations or treatments.,insufficient_evidence,,9,draft_mapping,medium,QSEN_0062,Function competently within own scope of practice as a member of the health care team**,Teamwork and Collaboration Definition,Skills,1.1d; 2.6c; 6.1a; 6.2c; 6.3b; 9.3h,QSEN_0049; QSEN_0023; QSEN_0063,QSEN_0062; QSEN_0049; QSEN_0063; QSEN_0064; QSEN_0023; QSEN_0026; QSEN_0067; QSEN_0068; QSEN_0077; QSEN_0080; QSEN_0081; QSEN_0029,Assisting a practitioner during an examination or treatment is functioning competently within one's own scope of practice as a member of the health care team.,"v1 could not be drafted: 9 of 12 candidates were filler. Shares source task text with RN-WPS-028, but the two concepts pull apart: 008 is about the nurse's role on the team, 028 is about preparing the patient. Different tops are defensible here.",,,,,
RN-WPS-018,Inform medical professionals regarding patient conditions and care.,draft_mapping,QSEN_0189,,draft_mapping,medium,QSEN_0161,"Communicate observations or concerns related to hazards and errors to patients, families, and the health care team**",Safety Definition,Skills,5.2b; 5.2d; 6.1e; 9.1e; 9.2g; 9.3b,QSEN_0071; QSEN_0073; QSEN_0026,QSEN_0161; QSEN_0071; QSEN_0073; QSEN_0026; QSEN_0014; QSEN_0067; QSEN_0072; QSEN_0084; QSEN_0056; QSEN_0189; QSEN_0175; QSEN_0192,Reporting symptoms and changes in condition to the care team is communicating clinical observations to that team. v1 was forced onto the EHR documentation statement because this one was absent from the candidate set.,"PARTIAL FIT, stated plainly: QSEN_0161 qualifies its observations as 'related to hazards and errors', which is narrower than routine condition reporting. QSEN_0071 (handoff communication practices) and QSEN_0073 (communication styles that diminish authority-gradient risk, relevant to informing a physician mid-anesthesia) are strong alternates. QSEN has no clean 'report clinical findings to the provider' statement.",,,,,
RN-WPS-020,Maintain medical facility records.,draft_mapping,QSEN_0207,,draft_mapping,medium,QSEN_0189,Document and plan patient care in an electronic health record,Informatics Definition,Skills,8.1c,QSEN_0196; QSEN_0188; QSEN_0181,QSEN_0189; QSEN_0196; QSEN_0188; QSEN_0181; QSEN_0187; QSEN_0185; QSEN_0198; QSEN_0192; QSEN_0207; QSEN_0202; QSEN_0184; QSEN_0041,"Maintaining accurate, detailed records is documenting patient care in the health record.","Fixes a KSA mismatch. v1 had to use QSEN_0207, an Attitude statement about valuing confidentiality, on a Skill task, because the Informatics documentation skills were absent from the candidate set.",,,,,
RN-WPS-023,"Monitor patient conditions during treatments, procedures, or activities.",draft_mapping,QSEN_0175,,draft_mapping,low,QSEN_0159,Demonstrate effective use of strategies to reduce risk of harm to self or others,Safety Definition,Skills,3.6d; 3.6e; 5.2c; 5.2e; 5.3a; 8.3e,QSEN_0175; QSEN_0191; QSEN_0016,QSEN_0159; QSEN_0175; QSEN_0191; QSEN_0161; QSEN_0016; QSEN_0150; QSEN_0158; QSEN_0189; QSEN_0206; QSEN_0192; QSEN_0015; QSEN_0187,Monitoring a patient during treatment for reactions and deterioration is the use of strategies to reduce the risk of harm.,REVIEWER CHOICE. QSEN_0159 is a Skill and matches the task's KSA level; QSEN_0175 is an Attitude whose content ('vigilance and monitoring') is closer to the words of the task. v1 used QSEN_0175 and was flagged for the mismatch. Pick the axis you want the crosswalk to honour and apply it consistently across the monitoring rows.,,,,,
RN-WPS-024,Monitor patient progress or responses to treatments.,draft_mapping,QSEN_0016,,draft_mapping,low,QSEN_0013,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",Patient-Centered Care Definition,Skills,2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,QSEN_0016; QSEN_0021; QSEN_0192,QSEN_0013; QSEN_0016; QSEN_0021; QSEN_0192; QSEN_0099; QSEN_0105; QSEN_0103; QSEN_0026; QSEN_0175; QSEN_0134; QSEN_0015; QSEN_0027,"This statement's scope explicitly includes evaluation of care, which is what monitoring progress and response to treatment is.",The v1 false positive is now excluded from the candidate set entirely: QSEN_0006 scored 0.23 on the phrase 'all aspects' alone. QSEN_0021 is the alternate if the reviewer wants the diet-and-activity self-management reading. Same source task as RN-WPS-025; both rows are given the same set and the same top so one decision covers both.,,,,,
RN-WPS-025,Monitor patients following surgeries or other treatments.,draft_mapping,QSEN_0016,,draft_mapping,low,QSEN_0013,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",Patient-Centered Care Definition,Skills,2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,QSEN_0016; QSEN_0021; QSEN_0192,QSEN_0013; QSEN_0016; QSEN_0021; QSEN_0192; QSEN_0099; QSEN_0105; QSEN_0103; QSEN_0026; QSEN_0175; QSEN_0134; QSEN_0015; QSEN_0027,"Post-procedure monitoring is ongoing evaluation of care, the clause this statement carries.","Identical source task and candidate set to RN-WPS-024, deliberately. If the reviewer prefers a complication-surveillance reading for the post-surgical case specifically, QSEN_0159 is the statement to add — but then RN-WPS-024 and RN-WPS-025 diverge on a shared task and that divergence should be recorded as intentional.",,,,,
RN-WPS-028,Prepare patients physically for medical procedures.,insufficient_evidence,,11,draft_mapping,low,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0023; QSEN_0160; QSEN_0016,QSEN_0158; QSEN_0023; QSEN_0160; QSEN_0016; QSEN_0029; QSEN_0026; QSEN_0062; QSEN_0021; QSEN_0013; QSEN_0031; QSEN_0040; QSEN_0159,Physical preparation of a patient for a procedure is carried out through standardized practices that support safety and quality.,"v1 could not be drafted: 11 of 12 candidates were filler, the worst set in the batch. QSEN_0023 (informed consent) and QSEN_0160 (pre-procedure checklists) are the alternates. Shares source task with RN-WPS-008; see the note there on why different tops are defensible.",,,,,
RN-WPS-034,Supervise patient care personnel.,draft_mapping,QSEN_0010,,draft_mapping,medium,QSEN_0065,Clarify roles and accountabilities under conditions [Guide the team in managing areas] of potential overlap in team member functioning**,Teamwork and Collaboration Definition,Skills,2.6c; 2.9c; 6.1a; 6.2a; 6.2b; 6.2c; 6.2e; 6.2f; 6.3a; 6.3b,QSEN_0049; QSEN_0063; QSEN_0050,QSEN_0065; QSEN_0049; QSEN_0050; QSEN_0063; QSEN_0062; QSEN_0069; QSEN_0066; QSEN_0080; QSEN_0056; QSEN_0055; QSEN_0196; QSEN_0010,Directing and supervising less-skilled personnel is clarifying roles and accountabilities and guiding the team where member functioning overlaps.,"This is the clearest win from regeneration. Delegation and supervision are genuinely well covered by the Teamwork and Collaboration scopes-of-practice family (QSEN_0049, QSEN_0050, QSEN_0062, QSEN_0065), and the lexical matcher offered none of them.",,,,,
RN-WPS-037,Train caregivers or other non-medical personnel.,insufficient_evidence,,8,draft_mapping,low,QSEN_0106,"Role model clinical decision making based on evidence, clinical expertise and patient/family preferences and values",Evidence-Based Practice Definition,Skills,1.3b,QSEN_0069; QSEN_0117; QSEN_0102,QSEN_0106; QSEN_0069; QSEN_0117; QSEN_0102; QSEN_0060; QSEN_0196; QSEN_0049; QSEN_0186; QSEN_0200; QSEN_0065; QSEN_0111; QSEN_0168,Instructing auxiliary personnel is most closely represented by role modeling clinical decision making for others.,"WEAKEST DRAFT IN THE BATCH. QSEN contains no statement about teaching, precepting, or training others; the whole competency set is written about the nurse's own practice. Even with all 207 statements available, this row has no good home. Teaching sits in AACN Domains 6 and 10. The reviewer may reasonably return this row to not_mappable.",,,,,
