module_number,concept,task_count,unique_task_count,review_count,source_anchor,ai_mapping_status,ai_top_qsen_statement_id,ai_top_aacn_subcompetency_codes,ai_confidence,ai_rationale,ai_alternate_qsen_statement_ids,ai_review_notes,ai_validation_errors,local_top_candidate_qsen_id,local_top_candidate_score,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-002,Administer anesthetics or sedatives to control pain.,6,1,6,"WPS process: Administer anesthetics or sedatives to control pain.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T29:R3; wps_competency_3056.docx#T29:R3; wps_hybrid_2074.docx#T29:R2; wps_hybrid_3056.docx#T29:R2; wps_time_2074.docx#T29:R2; wps_time_3056.docx#T29:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0015,0.1,,,,
RN-WPS-003,Administer non-intravenous medications.,6,1,6,"WPS process: Administer non-intravenous medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T4:R3; wps_competency_3056.docx#T4:R3; wps_hybrid_2074.docx#T4:R2; wps_hybrid_3056.docx#T4:R2; wps_time_2074.docx#T4:R2; wps_time_3056.docx#T4:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0192,0.0931,,,,
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,6,1,6,"WPS process: Advise communities or institutions regarding health or safety issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T37:R3; wps_competency_3056.docx#T37:R3; wps_hybrid_2074.docx#T37:R2; wps_hybrid_3056.docx#T37:R2; wps_time_2074.docx#T37:R2; wps_time_3056.docx#T37:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0161,0.1893,,,,
RN-WPS-005,Advise medical personnel regarding healthcare issues.,6,1,6,"WPS process: Advise medical personnel regarding healthcare issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T14:R3; wps_competency_3056.docx#T14:R3; wps_hybrid_2074.docx#T14:R2; wps_hybrid_3056.docx#T14:R2; wps_time_2074.docx#T14:R2; wps_time_3056.docx#T14:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0169,0.1067,,,,
RN-WPS-006,Analyze test data or images to inform diagnosis or treatment.,6,1,6,"WPS process: Analyze test data or images to inform diagnosis or treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T15:R3; wps_competency_3056.docx#T15:R3; wps_hybrid_2074.docx#T15:R2; wps_hybrid_3056.docx#T15:R2; wps_time_2074.docx#T15:R2; wps_time_3056.docx#T15:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0095,0.1671,,,,
RN-WPS-007,"Assess patient work, living, or social environments.",6,1,6,"WPS process: Assess patient work, living, or social environments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T28:R3; wps_competency_3056.docx#T28:R3; wps_hybrid_2074.docx#T28:R2; wps_hybrid_3056.docx#T28:R2; wps_time_2074.docx#T28:R2; wps_time_3056.docx#T28:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0161,0.1641,,,,
RN-WPS-008,Assist healthcare practitioners during examinations or treatments.,6,1,6,"WPS process: Assist healthcare practitioners during examinations or treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T30:R3; wps_competency_3056.docx#T30:R3; wps_hybrid_2074.docx#T30:R2; wps_hybrid_3056.docx#T30:R2; wps_time_2074.docx#T30:R2; wps_time_3056.docx#T30:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0193,0.1054,,,,
RN-WPS-009,Collaborate with healthcare professionals to plan or provide treatment.,6,1,6,"WPS process: Collaborate with healthcare professionals to plan or provide treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T9:R3; wps_competency_3056.docx#T9:R3; wps_hybrid_2074.docx#T9:R2; wps_hybrid_3056.docx#T9:R2; wps_time_2074.docx#T9:R2; wps_time_3056.docx#T9:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0020,0.1904,,,,
RN-WPS-010,Communicate health and wellness information to the public.,6,1,6,"WPS process: Communicate health and wellness information to the public.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T21:R3; wps_competency_3056.docx#T21:R3; wps_hybrid_2074.docx#T21:R2; wps_hybrid_3056.docx#T21:R2; wps_time_2074.docx#T21:R2; wps_time_3056.docx#T21:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0051,0.1571,,,,
RN-WPS-011,Conduct research to increase knowledge about medical issues.,6,1,6,"WPS process: Conduct research to increase knowledge about medical issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T38:R3; wps_competency_3056.docx#T38:R3; wps_hybrid_2074.docx#T38:R2; wps_hybrid_3056.docx#T38:R2; wps_time_2074.docx#T38:R2; wps_time_3056.docx#T38:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0089,0.1598,,,,
