review_id,record_type,bridge_id,wps_task_id,source_file,rapids_code,variant,process_raw,task_raw,proposed_qsen_statement_id,match_score,review_reason
WPS_REVIEW_0001,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0001,WPS_2074CB_COMPETENCY_BASED_T02_R03_A,wps_competency_2074.docx,2074CB,competency_based,Record patient medical histories.,A. Record patients' medical information and vital signs.,QSEN_0188,0.3033,ambiguous_match
WPS_REVIEW_0002,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0002,WPS_2074CB_COMPETENCY_BASED_T02_R04_B,wps_competency_2074.docx,2074CB,competency_based,Record patient medical histories.,"B. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0003,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0003,WPS_2074CB_COMPETENCY_BASED_T03_R03_A,wps_competency_2074.docx,2074CB,competency_based,"Monitor patient conditions during treatments, procedures, or activities.",A. Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,0.1562,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0004,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0004,WPS_2074CB_COMPETENCY_BASED_T03_R04_B,wps_competency_2074.docx,2074CB,competency_based,"Monitor patient conditions during treatments, procedures, or activities.","B. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0005,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0005,WPS_2074CB_COMPETENCY_BASED_T04_R03_A,wps_competency_2074.docx,2074CB,competency_based,Administer non-intravenous medications.,A. Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,0.1562,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0006,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0006,WPS_2074CB_COMPETENCY_BASED_T05_R03_A,wps_competency_2074.docx,2074CB,competency_based,Maintain medical facility records.,"A. Maintain accurate, detailed reports and records.",QSEN_0207,0.1252,no_confident_match
WPS_REVIEW_0007,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0007,WPS_2074CB_COMPETENCY_BASED_T06_R03_A,wps_competency_2074.docx,2074CB,competency_based,Inform medical professionals regarding patient conditions and care.,"A. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0008,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0008,WPS_2074CB_COMPETENCY_BASED_T06_R04_B,wps_competency_2074.docx,2074CB,competency_based,Inform medical professionals regarding patient conditions and care.,B. Inform physician of patient's condition during anesthesia.,,0.0,no_confident_match
WPS_REVIEW_0009,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0009,WPS_2074CB_COMPETENCY_BASED_T07_R03_A,wps_competency_2074.docx,2074CB,competency_based,Immunize patients.,"A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,0.1032,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0010,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0010,WPS_2074CB_COMPETENCY_BASED_T08_R03_A,wps_competency_2074.docx,2074CB,competency_based,"Treat acute illnesses, infections, or injuries.","A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,0.1032,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0011,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0011,WPS_2074CB_COMPETENCY_BASED_T09_R03_A,wps_competency_2074.docx,2074CB,competency_based,Collaborate with healthcare professionals to plan or provide treatment.,"A. Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.",QSEN_0132,0.2419,no_confident_match
WPS_REVIEW_0012,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0012,WPS_2074CB_COMPETENCY_BASED_T10_R03_A,wps_competency_2074.docx,2074CB,competency_based,Supervise patient care personnel.,A. Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.,QSEN_0193,0.0822,no_confident_match
WPS_REVIEW_0013,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0013,WPS_2074CB_COMPETENCY_BASED_T11_R03_A,wps_competency_2074.docx,2074CB,competency_based,Monitor patient progress or responses to treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,0.2297,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0014,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0014,WPS_2074CB_COMPETENCY_BASED_T12_R03_A,wps_competency_2074.docx,2074CB,competency_based,Monitor patients following surgeries or other treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,0.2297,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0015,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0015,WPS_2074CB_COMPETENCY_BASED_T13_R03_A,wps_competency_2074.docx,2074CB,competency_based,Manage healthcare operations.,"A. Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.",QSEN_0160,0.0986,no_confident_match
WPS_REVIEW_0016,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0016,WPS_2074CB_COMPETENCY_BASED_T14_R03_A,wps_competency_2074.docx,2074CB,competency_based,Advise medical personnel regarding healthcare issues.,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",QSEN_0036,0.1129,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0017,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0017,WPS_2074CB_COMPETENCY_BASED_T15_R03_A,wps_competency_2074.docx,2074CB,competency_based,Analyze test data or images to inform diagnosis or treatment.,"A. Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",QSEN_0151,0.1317,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0018,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0018,WPS_2074CB_COMPETENCY_BASED_T16_R03_A,wps_competency_2074.docx,2074CB,competency_based,Direct healthcare delivery programs.,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",QSEN_0036,0.1129,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0019,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0019,WPS_2074CB_COMPETENCY_BASED_T17_R03_A,wps_competency_2074.docx,2074CB,competency_based,Order medical diagnostic or clinical tests.,"A. Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",QSEN_0151,0.1317,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0020,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0020,WPS_2074CB_COMPETENCY_BASED_T18_R03_A,wps_competency_2074.docx,2074CB,competency_based,Prescribe assistive medical devices or related treatments.,"A. Prescribe or recommend drugs, medical devices, or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.",QSEN_0149,0.0892,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0021,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0021,WPS_2074CB_COMPETENCY_BASED_T19_R03_A,wps_competency_2074.docx,2074CB,competency_based,Prescribe medications.,"A. Prescribe or recommend drugs, medical devices, or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.",QSEN_0149,0.0892,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0022,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0022,WPS_2074CB_COMPETENCY_BASED_T20_R03_A,wps_competency_2074.docx,2074CB,competency_based,Design public or employee health programs.,"A. Instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.",QSEN_0117,0.2345,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0023,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0024,WPS_2074CB_COMPETENCY_BASED_T21_R03_A,wps_competency_2074.docx,2074CB,competency_based,Communicate health and wellness information to the public.,"A. Instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.",QSEN_0117,0.2345,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0024,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0025,WPS_2074CB_COMPETENCY_BASED_T22_R03_A,wps_competency_2074.docx,2074CB,competency_based,Evaluate patient outcomes to determine effectiveness of treatments.,A. Modify patient treatment plans as indicated by patients' responses and conditions.,QSEN_0095,0.1033,no_confident_match
