module_number,concept,v1_status,v1_top,v3_change,mapping_status,confidence,top_qsen_statement_id,top_qsen_statement_text,top_qsen_domain,top_qsen_ksa,top_aacn_subcompetency_codes,alternate_qsen_statement_ids,candidate_set,rationale,review_notes,validation_errors,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-002,Administer anesthetics or sedatives to control pain.,draft_mapping,QSEN_0018,confirmed,draft_mapping,medium,QSEN_0018,"Initiate effective treatments to relieve pain and suffering in light of patient values, preferences and expressed needs",Patient-Centered Care Definition,Skills,2.1b; 9.5b; 9.5c,QSEN_0027; QSEN_0015; QSEN_0158,QSEN_0018; QSEN_0027; QSEN_0015; QSEN_0017; QSEN_0037; QSEN_0003; QSEN_0158; QSEN_0150; QSEN_0160; QSEN_0175; QSEN_0191; QSEN_0036,Administering an anesthetic or sedative to control pain is the initiation of a treatment to relieve pain and suffering.,"v1 top CONFIRMED against the full index. The regenerated set adds the medication-safety family (QSEN_0158, QSEN_0150, QSEN_0160) so the reviewer can choose the safe-administration reading instead if preferred.",,,,,
RN-WPS-003,Administer non-intravenous medications.,insufficient_evidence,,status_changed:insufficient_evidence->draft_mapping,draft_mapping,medium,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0160; QSEN_0150; QSEN_0191,QSEN_0158; QSEN_0160; QSEN_0150; QSEN_0191; QSEN_0149; QSEN_0175; QSEN_0187; QSEN_0152; QSEN_0162; QSEN_0172; QSEN_0169; QSEN_0099,Safe medication administration is the use of standardized practices and supporting technology to protect safety and quality. The candidate set now contains the Safety skill family the lexical matcher never reached.,v1 could not be drafted: 10 of 12 candidates were score-0.00 filler. Reviewer should confirm whether the administration act or the monitoring-for-reactions half of the task is the intended anchor; QSEN_0175 covers the second half.,,,,,
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,draft_mapping,QSEN_0161,top_changed:QSEN_0161->QSEN_0165,draft_mapping,low,QSEN_0165,Use national patient safety resources for own professional development and to focus attention on safety in care settings**,Safety Definition,Skills,5.1b; 5.2e,QSEN_0155; QSEN_0176; QSEN_0102,QSEN_0165; QSEN_0155; QSEN_0176; QSEN_0102; QSEN_0161; QSEN_0156; QSEN_0115; QSEN_0163; QSEN_0074; QSEN_0058; QSEN_0136; QSEN_0126,Consulting with institutions and associations on health and safety issues is the use of national patient safety resources to focus attention on safety in care settings.,"CHANGED from v1's QSEN_0161, whose scope is hazards and errors communicated to patients, families and the team. Institutional and policy engagement remains thin across QSEN; AACN Domains 3 and 9-10 carry it better.",,,,,
RN-WPS-005,Advise medical personnel regarding healthcare issues.,draft_mapping,QSEN_0169,top_changed:QSEN_0169->QSEN_0167,draft_mapping,medium,QSEN_0167,"Participate as a team member to design, promote and model effective use of strategies to reduce risk of harm to self and others.",Safety Definition,Skills,5.1g; 5.3a,QSEN_0166; QSEN_0156; QSEN_0168,QSEN_0167; QSEN_0166; QSEN_0156; QSEN_0168; QSEN_0161; QSEN_0159; QSEN_0158; QSEN_0149; QSEN_0153; QSEN_0169; QSEN_0055; QSEN_0172,"Directing an infection control programme and advising personnel on necessary precautions is participating as a team member to design, promote and model strategies that reduce risk of harm.","CHANGED from v1's QSEN_0169 (report errors), which fitted poorly. Shares source task with RN-WPS-014, which now receives the same top.",,,,,
RN-WPS-006,Analyze test data or images to inform diagnosis or treatment.,draft_mapping,QSEN_0095,top_changed:QSEN_0095->QSEN_0195,draft_mapping,low,QSEN_0195,"Search, retrieve, and manage data to make decisions using information and knowledge management systems",Informatics Definition,Skills,8.2c,QSEN_0191; QSEN_0095; QSEN_0187,QSEN_0195; QSEN_0191; QSEN_0095; QSEN_0187; QSEN_0092; QSEN_0099; QSEN_0125; QSEN_0136; QSEN_0193; QSEN_0183; QSEN_0201; QSEN_0128,"Interpreting and evaluating diagnostic data to inform care is searching, retrieving and managing data to make decisions using information and knowledge management systems.","CHANGED from v1's QSEN_0095, which is about how evidence strength influences care rather than about interpreting a patient's results, and which is Knowledge where the task is a Skill. Shares source task with RN-WPS-026, which now receives the same top.",,,,,
RN-WPS-007,"Assess patient work, living, or social environments.",draft_mapping,QSEN_0161,top_changed:QSEN_0161->QSEN_0013,draft_mapping,medium,QSEN_0013,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",Patient-Centered Care Definition,Skills,2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,QSEN_0161; QSEN_0159; QSEN_0002,QSEN_0013; QSEN_0161; QSEN_0159; QSEN_0002; QSEN_0152; QSEN_0157; QSEN_0021; QSEN_0126; QSEN_0136; QSEN_0031; QSEN_0040; QSEN_0175,"Assessing the needs of individuals, families and communities is eliciting their values, preferences and expressed needs as part of assessment and care planning.","CHANGED from v1's QSEN_0161. The task has two clauses: assess needs and environments, then identify health or safety problems. QSEN_0013 covers the first, QSEN_0161 the second. The concept label emphasises assessment, so the first clause leads.",,,,,
RN-WPS-008,Assist healthcare practitioners during examinations or treatments.,insufficient_evidence,,status_changed:insufficient_evidence->draft_mapping,draft_mapping,medium,QSEN_0062,Function competently within own scope of practice as a member of the health care team**,Teamwork and Collaboration Definition,Skills,1.1d; 2.6c; 6.1a; 6.2c; 6.3b; 9.3h,QSEN_0049; QSEN_0023; QSEN_0063,QSEN_0062; QSEN_0049; QSEN_0063; QSEN_0064; QSEN_0023; QSEN_0026; QSEN_0067; QSEN_0068; QSEN_0077; QSEN_0080; QSEN_0081; QSEN_0029,Assisting a practitioner during an examination or treatment is functioning competently within one's own scope of practice as a member of the health care team.,"v1 could not be drafted: 9 of 12 candidates were filler. Shares source task text with RN-WPS-028, but the two concepts pull apart: 008 is about the nurse's role on the team, 028 is about preparing the patient. Different tops are defensible here.",,,,,
RN-WPS-009,Collaborate with healthcare professionals to plan or provide treatment.,draft_mapping,QSEN_0014,top_changed:QSEN_0014->QSEN_0066,draft_mapping,medium,QSEN_0066,Integrate the contributions of others who play a role in helping patient/family achieve health goals,Teamwork and Collaboration Definition,Skills,2.6c; 2.9c; 6.1c; 6.2a; 6.2e; 6.3a; 6.3b; 6.4b; 6.4d,QSEN_0014; QSEN_0026; QSEN_0067,QSEN_0066; QSEN_0014; QSEN_0026; QSEN_0067; QSEN_0071; QSEN_0077; QSEN_0051; QSEN_0049; QSEN_0079; QSEN_0086; QSEN_0063; QSEN_0081,"Consulting and coordinating with team members to assess, plan, implement and evaluate care plans is integrating the contributions of others who help the patient achieve health goals.","CHANGED from v1's QSEN_0014. QSEN_0066 was absent from the lexical candidate set and is the better fit: v1's statement is about communicating patient values, this one is about integrating team contributions into the plan.",,,,,
RN-WPS-010,Communicate health and wellness information to the public.,draft_mapping,QSEN_0006,top_changed:QSEN_0006->QSEN_0021,draft_mapping,medium,QSEN_0021,"Engage patients or designated surrogates in active partnerships that promote health, safety and well-being, and self-care management**",Patient-Centered Care Definition,Skills,2.1c; 2.2a; 2.8a; 2.8c; 2.8d; 2.8e; 2.9a; 2.9c; 2.9e; 9.1g; 9.3a; 9.5b,QSEN_0006; QSEN_0029; QSEN_0035,QSEN_0021; QSEN_0006; QSEN_0029; QSEN_0035; QSEN_0013; QSEN_0031; QSEN_0051; QSEN_0117; QSEN_0126; QSEN_0043; QSEN_0040; QSEN_0082,"Instructing individuals, families and groups on health education and disease prevention is engaging them in partnerships that promote health, safety, well-being and self-care management.","CHANGED from v1's QSEN_0006, a Knowledge statement about describing empowerment strategies, where the task is a Skill. Population-level programme development still has no QSEN counterpart; that half belongs to AACN Domain 3.",,,,,
RN-WPS-011,Conduct research to increase knowledge about medical issues.,draft_mapping,QSEN_0097,confirmed,draft_mapping,high,QSEN_0097,Participate effectively in appropriate data collection and other research activities,Evidence-Based Practice Definition,Skills,4.1d; 4.1f,QSEN_0087; QSEN_0098; QSEN_0100,QSEN_0097; QSEN_0087; QSEN_0098; QSEN_0100; QSEN_0108; QSEN_0094; QSEN_0089; QSEN_0121; QSEN_0101; QSEN_0090; QSEN_0107; QSEN_0102,Engaging in nursing research activities is participating effectively in data collection and other research activities.,v1 top CONFIRMED against the full index and still the strongest mapping in the table. QSEN_0098 (IRB adherence) is added as an alternate; it was absent from the lexical set.,,,,,
