review_id,qsen_statement_id,bridge_id,source_sheet,source_row,source_cell,raw_mapping_value,subcompetency_code,implied_parent_competency_code,qsen_domain_name,ksa,qsen_statement_raw,review_reason,recommended_action
REV_00001,QSEN_STMT_0049,BRIDGE_00295,Entry Level,54,D54,1.1d,1.1d,1.1,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Knowledge,Describe scopes of practice and roles of health care team members**,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00002,QSEN_STMT_0059,BRIDGE_00339,Entry Level,64,D64,1.1d,1.1d,1.1,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Skills,Demonstrate awareness of own strengths and limitations as a team member**,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00003,QSEN_STMT_0062,BRIDGE_00353,Entry Level,67,D67,1.1d,1.1d,1.1,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Skills,Function competently within own scope of practice as a member of the health care team**,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00004,QSEN_STMT_0072,BRIDGE_00417,Entry Level,77,D77,1.1d,1.1d,1.1,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Skills,Assert own position/perspective in discussions about patient care,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00005,QSEN_STMT_0076,BRIDGE_00434,Entry Level,81,D81,1.1d,1.1d,1.1,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Attitudes,Acknowledge own potential to contribute [contributions] to effective [or ineffective] team functioning**,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00006,QSEN_STMT_0087,BRIDGE_00481,Entry Level,92,D92,1.1b,1.1b,1.1,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Knowledge,Demonstrate knowledge of basic scientific [health research] methods and processes **,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00007,QSEN_STMT_0100,BRIDGE_00531,Entry Level,105,D105,1.1b,1.1b,1.1,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Skills,Read [Critically appraise] original research and evidence reports related to area of practice **,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00008,QSEN_STMT_0101,BRIDGE_00537,Entry Level,106,D106,1.1b,1.1b,1.1,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Skills,Locate evidence reports related to clinical practice topics and guidelines,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00009,QSEN_STMT_0107,BRIDGE_00568,Entry Level,112,D112,1.1b,1.1b,1.1,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Attitudes,Appreciate strengths and weaknesses of scientific bases for practice**,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
REV_00010,QSEN_STMT_0110,BRIDGE_00585,Entry Level,115,D115,1.1b,1.1b,1.1,Evidence-Based Practice Definition: Integrate best current evidence with clinical expertise and patient/family preferences and values for delivery of optimal health care.,Attitudes,Appreciate the importance of regularly reading relevant professional journals,missing_competency_header,Confirm the missing AACN 1.1 competency title from an authoritative AACN source before clearing review.
