| ID      | Area / Feature                           | Issue / Improvement                                                                                                                  | Impact                                                                         | Fix & Agent Instructions                                                                                                                                                                                                                                                                          |
| ------- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **N‑1** | Student front‑end → Account management   | There is no sign‑up, login, or dashboard for students; users cannot save or revisit past study plans.                                | New and returning users cannot track progress, leading to poor retention.      | **Implement authentication:** Add sign‑up/login pages using a secure auth provider (e.g., Supabase Auth or Firebase Auth).  Provide optional login for quick assessments.  After login, redirect to a “My Assessments” dashboard that lists previous uploads with dates and topics.               |
| **N‑2** | Student front‑end → PDF upload & results | Uploading a PDF offers no progress indicator and no separate results page; some browsers appear to do nothing after dropping a file. | Users may abandon the upload or repeatedly reupload, resulting in frustration. | **Improve upload UX:** Add a progress bar and disable the input while the file is uploading and being analyzed.  After processing, route users to a results page summarising extracted topics and linking to resources.  Show descriptive errors for unsupported formats or oversized files.      |
| **N‑3** | Admin → Knowledge Base → Documents       | The list of documents shows a skeleton loader indefinitely when empty; there is no empty‑state message.                              | Admins assume the system is broken or still loading.                           | **Add empty state:** When the documents API returns zero items, hide the loader and display a message such as “No documents uploaded yet. Use the Upload tab to add learning materials.”                                                                                                          |
| **N‑4** | Admin → Knowledge Base → Search & Test   | Search is enabled even when the knowledge base is empty and no results appear.                                                       | Admins may think search is malfunctioning.                                     | **Disable search when empty:** If there are no documents, disable the search bar and show a hint (“Upload documents before testing the search”).  Display error messages when API calls fail.                                                                                                     |
| **N‑5** | Admin → Resource Management              | Creating resources lacks validation and user feedback; invalid data can be saved without warnings.                                   | Leads to data inconsistency and a confusing experience.                        | **Add validation & feedback:** Require the Title, Type, Difficulty, and at least one Topic.  Validate URLs.  Disable the “Add Resource” button until the form is valid.  Show toast notifications for success and error responses.                                                                |
| **N‑6** | Admin → Topics Development Queue         | Actions like “View Details”, “Edit Topic”, “Mark as Resolved”, “Upload”, “Generate”, “Link”, and “Attach” are non‑functional.        | Topics needing content remain in limbo; admins cannot resolve requests.        | **Wire actions:** Create view and edit pages for topics.  Implement the Mark‑as‑Resolved mutation to update the topic status and refresh queue counts.  Connect Upload/Generate/Link/Attach buttons to their respective workflows in Resources or Knowledge Base.  Provide confirmation messages. |
| **N‑7** | Admin → Knowledge Base → Upload          | The drag‑and‑drop upload area does not validate file type or size and lacks a progress indicator; large files silently fail.         | Admins may unknowingly upload invalid files or wait indefinitely.              | **Validate and track progress:** Check file type (PDF, DOCX, PPTX, TXT) and size (≤ 100 MB) before upload.  Show upload progress and index‑processing status.  Notify the user of success or failure.                                                                                             |
| **N‑8** | System integration                       | The PDF Table Extractor operates separately; confirmed tables are not ingested into the Nurse Study knowledge base.                  | Duplicate data entry and missed opportunities to populate study resources.     | **Automate ingestion:** Create a back‑end job or webhook to listen for `confirmed` table events from the extractor and insert the extracted table as a new document or resource into the Nurse Study knowledge base.  Update related topics and queues accordingly.                               |
| **N‑9** | Testing & QA                             | Current tests do not cover new features (auth, empty‑states, validation, topic actions).                                             | Bugs may recur undetected.                                                     | **Extend E2E tests:** Add Playwright + PyTest cases for sign‑up/login flows, upload progress, empty‑state messaging, form validation, and topic queue actions.  Run the suite on each commit and block releases on failures.                                                                      |
