module_number,concept,task_count,review_count,ai_mapping_status,ai_confidence,ai_top_qsen_statement_id,ai_top_qsen_statement_text,ai_top_qsen_domain,ai_top_qsen_ksa,ai_top_aacn_subcompetency_codes,ai_alternate_qsen_statement_ids,ai_rationale,ai_review_notes,ai_validation_errors,local_top_candidate_qsen_id,local_top_candidate_score,candidate_filler_count,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-002,Administer anesthetics or sedatives to control pain.,6,6,draft_mapping,medium,QSEN_0018,"Initiate effective treatments to relieve pain and suffering in light of patient values, preferences and expressed needs",Patient-Centered Care Definition,Skills,2.1b; 9.5b; 9.5c,QSEN_0027; QSEN_0015,"Administering anesthetics or sedatives to control pain is the initiation of a treatment intended to relieve pain and suffering, which is the direct subject of this QSEN skill statement.",Reviewer should confirm whether the pharmacologic act or the patient-centered framing of pain relief is the intended crosswalk anchor.,,QSEN_0015,0.1,0,,,,
RN-WPS-003,Administer non-intravenous medications.,6,6,insufficient_evidence,low,,,,,,,Ten of the twelve supplied candidates scored 0.00 and are sequential filler (QSEN_0001-QSEN_0010); none address medication administration.,"CANDIDATE SET GAP. Regenerate candidates before review. The safety-practice family (QSEN_0158 standardized practices, QSEN_0160 reduce reliance on memory, QSEN_0162 error reporting) is the likely correct region and is absent here.",,QSEN_0192,0.0931,10,,,,
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,6,6,draft_mapping,low,QSEN_0161,"Communicate observations or concerns related to hazards and errors to patients, families, and the health care team**",Safety Definition,Skills,5.2b; 5.2d; 6.1e; 9.1e; 9.2g; 9.3b,QSEN_0156; QSEN_0176,"Advising institutions on health or safety issues is an outward communication of safety concerns beyond the immediate care team, which is the nearest available QSEN skill.",Partial fit. Professional and policy advocacy is thinly represented in QSEN; AACN Domains 3 and 9-10 carry it better.,,QSEN_0161,0.1893,0,,,,
RN-WPS-005,Advise medical personnel regarding healthcare issues.,6,6,draft_mapping,low,QSEN_0169,Report errors and support members of the healthcare team to be forthcoming about errors and near misses,Safety Definition,Skills,5.2d,QSEN_0072; QSEN_0190,Consulting with personnel about necessary precautions is a safety communication to colleagues; this is the closest safety-communication statement in the candidate set.,Weak fit. QSEN_0161 and QSEN_0156 are better matches in the full QSEN set but were not supplied as candidates. Shares source task text with RN-WPS-014.,,QSEN_0169,0.1067,1,,,,
RN-WPS-006,Analyze test data or images to inform diagnosis or treatment.,6,6,draft_mapping,low,QSEN_0095,"Analyze how the strength of available evidence influences the provision of care (assessment, diagnosis, treatment and evaluation)",Evidence-Based Practice Definition,Knowledge,4.2b,QSEN_0015; QSEN_0016,"This statement explicitly covers assessment, diagnosis, treatment and evaluation as the frame in which evidence is applied, which is the context for interpreting diagnostic tests.",Contextual mapping only. Diagnostic test interpretation is a clinical skill outside QSEN's six competency domains. Shares source task text with RN-WPS-026.,,QSEN_0095,0.1671,0,,,,
RN-WPS-007,"Assess patient work, living, or social environments.",6,6,draft_mapping,medium,QSEN_0161,"Communicate observations or concerns related to hazards and errors to patients, families, and the health care team**",Safety Definition,Skills,5.2b; 5.2d; 6.1e; 9.1e; 9.2g; 9.3b,QSEN_0175; QSEN_0004,"Assessing home, work and community environments to identify potential health or safety problems is hazard identification, and this statement covers observing and communicating hazards to patients, families and the team.",Reviewer should confirm whether identification alone or identification plus communication is intended.,,QSEN_0161,0.1641,0,,,,
RN-WPS-008,Assist healthcare practitioners during examinations or treatments.,6,6,insufficient_evidence,low,,,,,,,Nine of twelve candidates scored 0.00 and are sequential filler; none address assisting during examinations or treatments.,CANDIDATE SET GAP. Regenerate candidates. QSEN_0062 (function competently within own scope as a team member) is the likely region and is absent here. Shares source task text with RN-WPS-028.,,QSEN_0193,0.1054,9,,,,
RN-WPS-009,Collaborate with healthcare professionals to plan or provide treatment.,6,6,draft_mapping,medium,QSEN_0014,"Communicate patient values, preferences and expressed needs to other members of health care team**",Patient-Centered Care Definition,Skills,2.1b; 2.3g; 2.4e; 2.5a; 2.5b; 2.5g; 2.8d; 6.1b; 9.2g; 9.5b,QSEN_0049; QSEN_0086; QSEN_0079,"Consulting and coordinating with team members to assess, plan, implement and evaluate care plans is interprofessional communication about the patient, which this skill statement names directly.",Strongest genuine Teamwork and Collaboration mapping in this batch. QSEN_0049 is a defensible alternative if the reviewer prefers the roles-and-scopes framing.,,QSEN_0020,0.1904,0,,,,
RN-WPS-010,Communicate health and wellness information to the public.,6,6,draft_mapping,low,QSEN_0006,Describe strategies to empower patients or families in all aspects of the health care process,Patient-Centered Care Definition,Knowledge,1.2e; 2.2a; 2.3a; 2.5a; 2.5g; 2.8d; 2.8e; 2.9a; 2.9c; 7.2b; 7.3d; 9.1g; 9.3a; 9.5b; 9.5e,QSEN_0051; QSEN_0035; QSEN_0082,"Instructing individuals, families and groups on health education and disease prevention is patient and family empowerment through education, the subject of this statement.",Population-level health education sits in AACN Domain 3 and is weakly represented across QSEN. Reviewer should decide whether the individual-education framing is acceptable.,,QSEN_0051,0.1571,0,,,,
RN-WPS-011,Conduct research to increase knowledge about medical issues.,6,6,draft_mapping,high,QSEN_0097,Participate effectively in appropriate data collection and other research activities,Evidence-Based Practice Definition,Skills,4.1d; 4.1f,QSEN_0087; QSEN_0100; QSEN_0108,Engaging in nursing research activities is exactly what this statement describes: participating effectively in data collection and other research activities.,Clean one-to-one mapping. The strongest match in the batch and the only high-confidence draft.,,QSEN_0089,0.1598,0,,,,
