concept,exemplars,subject_area,content_area,specialty_area,nclex_category,ncjmm_primary,priority_framework,source_anchor,evidence_status,needs_review,module_number
*CIP Code,"51.3818, 51.3806, 51.3801, 51.3805, 51.3820, 51.3899, 51.3812, 51.3802, 51.3803, 51.3810, 51.3815, 51.3821, 51.3816, 51.3814, 51.3819, 51.3822, 51.3808, 51.3824, 51.3811, 51.3813, 51.3809, Total",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: *CIP Code; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T40:R2; wps_competency_2074.docx#T40:R3; wps_competency_2074.docx#T40:R4; wps_competency_2074.docx#T40:R5; wps_competency_2074.docx#T40:R6; wps_competency_2074.docx#T40:R7; wps_competency_2074.docx#T40:R8; wps_competency_2074.docx#T40:R9; wps_competency_2074.docx#T40:R10; wps_competency_2074.docx#T40:R11; wps_competency_2074.docx#T40:R12; wps_competency_2074.docx#T40:R13; +120 more; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-001
Administer anesthetics or sedatives to control pain.,Administer local - inhalation - intravenous - or other anesthetics.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Administer anesthetics or sedatives to control pain.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T29:R3; wps_competency_3056.docx#T29:R3; wps_hybrid_2074.docx#T29:R2; wps_hybrid_3056.docx#T29:R2; wps_time_2074.docx#T29:R2; wps_time_3056.docx#T29:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-002
Administer non-intravenous medications.,Administer medications to patients and monitor patients for reactions or side effects.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Administer non-intravenous medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T4:R3; wps_competency_3056.docx#T4:R3; wps_hybrid_2074.docx#T4:R2; wps_hybrid_3056.docx#T4:R2; wps_time_2074.docx#T4:R2; wps_time_3056.docx#T4:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-003
Advise communities or institutions regarding health or safety issues.,Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Advise communities or institutions regarding health or safety issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T37:R3; wps_competency_3056.docx#T37:R3; wps_hybrid_2074.docx#T37:R2; wps_hybrid_3056.docx#T37:R2; wps_time_2074.docx#T37:R2; wps_time_3056.docx#T37:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-004
Advise medical personnel regarding healthcare issues.,Direct or coordinate infection control programs - advising or consulting with specified personnel about necessary precautions.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Advise medical personnel regarding healthcare issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T14:R3; wps_competency_3056.docx#T14:R3; wps_hybrid_2074.docx#T14:R2; wps_hybrid_3056.docx#T14:R2; wps_time_2074.docx#T14:R2; wps_time_3056.docx#T14:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-005
Analyze test data or images to inform diagnosis or treatment.,Order - interpret - and evaluate diagnostic tests to identify and assess patient's condition.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Analyze test data or images to inform diagnosis or treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T15:R3; wps_competency_3056.docx#T15:R3; wps_hybrid_2074.docx#T15:R2; wps_hybrid_3056.docx#T15:R2; wps_time_2074.docx#T15:R2; wps_time_3056.docx#T15:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-006
"Assess patient work, living, or social environments.",Assess the needs of individuals - families - or communities - including assessment of individuals' home or work environments - to identify potential health or safety problems.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Assess patient work, living, or social environments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T28:R3; wps_competency_3056.docx#T28:R3; wps_hybrid_2074.docx#T28:R2; wps_hybrid_3056.docx#T28:R2; wps_time_2074.docx#T28:R2; wps_time_3056.docx#T28:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-007
Assist healthcare practitioners during examinations or treatments.,Prepare patients for and assist with examinations or treatments.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Assist healthcare practitioners during examinations or treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T30:R3; wps_competency_3056.docx#T30:R3; wps_hybrid_2074.docx#T30:R2; wps_hybrid_3056.docx#T30:R2; wps_time_2074.docx#T30:R2; wps_time_3056.docx#T30:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-008
Collaborate with healthcare professionals to plan or provide treatment.,Consult and coordinate with healthcare team members to assess - plan - implement - or evaluate patient care plans.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Collaborate with healthcare professionals to plan or provide treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T9:R3; wps_competency_3056.docx#T9:R3; wps_hybrid_2074.docx#T9:R2; wps_hybrid_3056.docx#T9:R2; wps_time_2074.docx#T9:R2; wps_time_3056.docx#T9:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-009
Communicate health and wellness information to the public.,Instruct individuals - families - or other groups on topics such as health education - disease prevention - or childbirth and develop health improvement programs.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Communicate health and wellness information to the public.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T21:R3; wps_competency_3056.docx#T21:R3; wps_hybrid_2074.docx#T21:R2; wps_hybrid_3056.docx#T21:R2; wps_time_2074.docx#T21:R2; wps_time_3056.docx#T21:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-010
