bridge_id,wps_task_id,source_file,rapids_code,rapids_base,variant,process_raw,task_raw,task_text_raw,proposed_qsen_statement_id,proposed_qsen_domain_name,proposed_ksa_raw,proposed_qsen_statement_raw,proposed_aacn_subcompetency_codes,match_score,second_best_score,needs_review,review_reason,mapping_method
WPS_QSEN_BRIDGE_0001,WPS_2074CB_COMPETENCY_BASED_T02_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Record patient medical histories.,A. Record patients' medical information and vital signs.,Record patients' medical information and vital signs.,QSEN_0188,Informatics Definition,Skills,Navigate the electronic health record,8.1c,0.3033,0.3018,True,ambiguous_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0002,WPS_2074CB_COMPETENCY_BASED_T02_R04_B,wps_competency_2074.docx,2074CB,2074,competency_based,Record patient medical histories.,"B. Monitor, record, and report symptoms or changes in patients' conditions.","Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,Quality Improvement Definition,Knowledge,Describe approaches for changing processes of care,4.2d; 5.1e; 5.1f; 5.1g,0.2613,0.2613,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0003,WPS_2074CB_COMPETENCY_BASED_T03_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,"Monitor patient conditions during treatments, procedures, or activities.",A. Administer medications to patients and monitor patients for reactions or side effects.,Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,Informatics Definition,Skills,Use information management tools to monitor outcomes of care processes,7.3b; 8.3d,0.1562,0.1551,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0004,WPS_2074CB_COMPETENCY_BASED_T03_R04_B,wps_competency_2074.docx,2074CB,2074,competency_based,"Monitor patient conditions during treatments, procedures, or activities.","B. Monitor, record, and report symptoms or changes in patients' conditions.","Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,Quality Improvement Definition,Knowledge,Describe approaches for changing processes of care,4.2d; 5.1e; 5.1f; 5.1g,0.2613,0.2613,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0005,WPS_2074CB_COMPETENCY_BASED_T04_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Administer non-intravenous medications.,A. Administer medications to patients and monitor patients for reactions or side effects.,Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,Informatics Definition,Skills,Use information management tools to monitor outcomes of care processes,7.3b; 8.3d,0.1562,0.1551,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0006,WPS_2074CB_COMPETENCY_BASED_T05_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Maintain medical facility records.,"A. Maintain accurate, detailed reports and records.","Maintain accurate, detailed reports and records.",QSEN_0207,Informatics Definition,Attitudes,Value the confidentiality and security of all patient records,8.5c,0.1252,0.1246,True,no_confident_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0007,WPS_2074CB_COMPETENCY_BASED_T06_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Inform medical professionals regarding patient conditions and care.,"A. Monitor, record, and report symptoms or changes in patients' conditions.","Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,Quality Improvement Definition,Knowledge,Describe approaches for changing processes of care,4.2d; 5.1e; 5.1f; 5.1g,0.2613,0.2613,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0008,WPS_2074CB_COMPETENCY_BASED_T06_R04_B,wps_competency_2074.docx,2074CB,2074,competency_based,Inform medical professionals regarding patient conditions and care.,B. Inform physician of patient's condition during anesthesia.,Inform physician of patient's condition during anesthesia.,,,,,,0.0,0.0,True,no_confident_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0009,WPS_2074CB_COMPETENCY_BASED_T07_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Immunize patients.,"A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.","Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,Informatics Definition,Skills,Promote access to patient care information for all professionals who provide care to patients.,8.4b,0.1032,0.103,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0010,WPS_2074CB_COMPETENCY_BASED_T08_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,"Treat acute illnesses, infections, or injuries.","A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.","Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,Informatics Definition,Skills,Promote access to patient care information for all professionals who provide care to patients.,8.4b,0.1032,0.103,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0011,WPS_2074CB_COMPETENCY_BASED_T09_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Collaborate with healthcare professionals to plan or provide treatment.,"A. Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.","Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.",QSEN_0132,Quality Improvement Definition,Skills,"Design [,implement, and evaluate] a small test of change in daily work (using an experiential learning method such as Plan-Do-Study-Act)**",4.2d; 5.1f; 5.1g,0.2419,0.2,True,no_confident_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0012,WPS_2074CB_COMPETENCY_BASED_T10_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Supervise patient care personnel.,A. Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.,Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.,QSEN_0193,Informatics Definition,Skills,Use high quality electronic sources of healthcare information,8.1a,0.0822,0.0804,True,no_confident_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0013,WPS_2074CB_COMPETENCY_BASED_T11_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Monitor patient progress or responses to treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.","Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,Quality Improvement Definition,Attitudes,Appreciate that all improvement is change but not all change is improvement. (No alignment identified),,0.2297,0.229,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0014,WPS_2074CB_COMPETENCY_BASED_T12_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Monitor patients following surgeries or other treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.","Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,Quality Improvement Definition,Attitudes,Appreciate that all improvement is change but not all change is improvement. (No alignment identified),,0.2297,0.229,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0015,WPS_2074CB_COMPETENCY_BASED_T13_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Manage healthcare operations.,"A. Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.","Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.",QSEN_0160,Safety Definition,Skills,"Use appropriate strategies to reduce reliance on memory (such as, forcing functions, checklists)**",5.2c; 5.2e; 8.3e,0.0986,0.0952,True,no_confident_match,local_lexical_rule_based
WPS_QSEN_BRIDGE_0016,WPS_2074CB_COMPETENCY_BASED_T14_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Advise medical personnel regarding healthcare issues.,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.","Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",QSEN_0036,Patient-Centered Care Definition,Attitudes,Recognize personally held values and beliefs about the management of pain or suffering,1.2d; 9.1d; 9.2e; 9.6b,0.1129,0.1101,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
WPS_QSEN_BRIDGE_0017,WPS_2074CB_COMPETENCY_BASED_T15_R03_A,wps_competency_2074.docx,2074CB,2074,competency_based,Analyze test data or images to inform diagnosis or treatment.,"A. Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.","Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",QSEN_0151,Safety Definition,Knowledge,Discuss [Evaluate] effective strategies to reduce reliance on memory **,5.2c; 5.2e; 8.3e,0.1317,0.1313,True,no_confident_match; duplicate_task_different_process,local_lexical_rule_based
