"vendor_guid","object_type","title","description","display_name","calculation_method","calculation_int","workflow_state","parent_guids"
"nclex-rn-2026:management-of-care","outcome_group","Management of Care","2026 NCLEX-RN blueprint range 15-21%","Management of Care","","","active","nclex-rn-2026"
"nclex-rn-2026:safety-infection-control","outcome_group","Safety and Infection Prevention and Control","2026 NCLEX-RN blueprint range 10-16%","Safety and Infection Prevention and Control","","","active","nclex-rn-2026"
"nclex-rn-2026:health-promotion","outcome_group","Health Promotion and Maintenance","2026 NCLEX-RN blueprint range 6-12%","Health Promotion and Maintenance","","","active","nclex-rn-2026"
"nclex-rn-2026:psychosocial-integrity","outcome_group","Psychosocial Integrity","2026 NCLEX-RN blueprint range 6-12%","Psychosocial Integrity","","","active","nclex-rn-2026"
"nclex-rn-2026:basic-care-comfort","outcome_group","Basic Care and Comfort","2026 NCLEX-RN blueprint range 6-12%","Basic Care and Comfort","","","active","nclex-rn-2026"
"nclex-rn-2026:pharmacological-therapies","outcome_group","Pharmacological and Parenteral Therapies","2026 NCLEX-RN blueprint range 13-19%","Pharmacological and Parenteral Therapies","","","active","nclex-rn-2026"
"nclex-rn-2026:reduction-of-risk","outcome_group","Reduction of Risk Potential","2026 NCLEX-RN blueprint range 9-15%","Reduction of Risk Potential","","","active","nclex-rn-2026"
"nclex-rn-2026:physiological-adaptation","outcome_group","Physiological Adaptation","2026 NCLEX-RN blueprint range 11-17%","Physiological Adaptation","","","active","nclex-rn-2026"
"nclex-rn-2026:moc-safe-delegation:objective-1","outcome","Differentiate tasks that require nursing judgment from tasks that may be delegated.","Safe Delegation and Supervision | Management of Care","Safe Delegation and Supervision 1","decaying_average","65","active","nclex-rn-2026:management-of-care"
"nclex-rn-2026:moc-safe-delegation:objective-2","outcome","Select an appropriate delegatee using patient stability, task predictability, and local scope.","Safe Delegation and Supervision | Management of Care","Safe Delegation and Supervision 2","decaying_average","65","active","nclex-rn-2026:management-of-care"
"nclex-rn-2026:moc-safe-delegation:objective-3","outcome","Provide direction, supervision, and outcome evaluation after delegation.","Safe Delegation and Supervision | Management of Care","Safe Delegation and Supervision 3","decaying_average","65","active","nclex-rn-2026:management-of-care"
"nclex-rn-2026:sic-standard-precautions:objective-1","outcome","Apply standard precautions to every patient encounter.","Standard Precautions and Exposure Prevention | Safety and Infection Prevention and Control","Standard Precautions and Exposure Prevention 1","decaying_average","65","active","nclex-rn-2026:safety-infection-control"
"nclex-rn-2026:sic-standard-precautions:objective-2","outcome","Select PPE from the anticipated exposure.","Standard Precautions and Exposure Prevention | Safety and Infection Prevention and Control","Standard Precautions and Exposure Prevention 2","decaying_average","65","active","nclex-rn-2026:safety-infection-control"
"nclex-rn-2026:sic-standard-precautions:objective-3","outcome","Respond safely to a sharps or body-fluid exposure.","Standard Precautions and Exposure Prevention | Safety and Infection Prevention and Control","Standard Precautions and Exposure Prevention 3","decaying_average","65","active","nclex-rn-2026:safety-infection-control"
"nclex-rn-2026:hpm-postpartum-warning-signs:objective-1","outcome","Distinguish expected postpartum changes from warning signs.","Postpartum Discharge Teaching and Warning Signs | Health Promotion and Maintenance","Postpartum Discharge Teaching and Warning Signs 1","decaying_average","65","active","nclex-rn-2026:health-promotion"
"nclex-rn-2026:hpm-postpartum-warning-signs:objective-2","outcome","Prioritize urgent follow-up instructions.","Postpartum Discharge Teaching and Warning Signs | Health Promotion and Maintenance","Postpartum Discharge Teaching and Warning Signs 2","decaying_average","65","active","nclex-rn-2026:health-promotion"
"nclex-rn-2026:hpm-postpartum-warning-signs:objective-3","outcome","Use teach-back to verify understanding.","Postpartum Discharge Teaching and Warning Signs | Health Promotion and Maintenance","Postpartum Discharge Teaching and Warning Signs 3","decaying_average","65","active","nclex-rn-2026:health-promotion"
"nclex-rn-2026:psi-therapeutic-communication:objective-1","outcome","Select therapeutic responses to distress.","Therapeutic Communication During Emotional Distress | Psychosocial Integrity","Therapeutic Communication During Emotional Distress 1","decaying_average","65","active","nclex-rn-2026:psychosocial-integrity"
"nclex-rn-2026:psi-therapeutic-communication:objective-2","outcome","Avoid common nontherapeutic communication barriers.","Therapeutic Communication During Emotional Distress | Psychosocial Integrity","Therapeutic Communication During Emotional Distress 2","decaying_average","65","active","nclex-rn-2026:psychosocial-integrity"
"nclex-rn-2026:psi-therapeutic-communication:objective-3","outcome","Escalate statements that indicate possible self-harm.","Therapeutic Communication During Emotional Distress | Psychosocial Integrity","Therapeutic Communication During Emotional Distress 3","decaying_average","65","active","nclex-rn-2026:psychosocial-integrity"
"nclex-rn-2026:bcc-pressure-injury-prevention:objective-1","outcome","Identify modifiable pressure-injury risks.","Pressure Injury Prevention and Comfort | Basic Care and Comfort","Pressure Injury Prevention and Comfort 1","decaying_average","65","active","nclex-rn-2026:basic-care-comfort"
"nclex-rn-2026:bcc-pressure-injury-prevention:objective-2","outcome","Select individualized prevention interventions.","Pressure Injury Prevention and Comfort | Basic Care and Comfort","Pressure Injury Prevention and Comfort 2","decaying_average","65","active","nclex-rn-2026:basic-care-comfort"
"nclex-rn-2026:bcc-pressure-injury-prevention:objective-3","outcome","Evaluate skin response and update the plan.","Pressure Injury Prevention and Comfort | Basic Care and Comfort","Pressure Injury Prevention and Comfort 3","decaying_average","65","active","nclex-rn-2026:basic-care-comfort"
"nclex-rn-2026:ppt-high-alert-medication:objective-1","outcome","Identify safeguards for high-alert medications.","High-Alert Medication Administration | Pharmacological and Parenteral Therapies","High-Alert Medication Administration 1","decaying_average","65","active","nclex-rn-2026:pharmacological-therapies"
"nclex-rn-2026:ppt-high-alert-medication:objective-2","outcome","Recognize parameters that require holding and clarification.","High-Alert Medication Administration | Pharmacological and Parenteral Therapies","High-Alert Medication Administration 2","decaying_average","65","active","nclex-rn-2026:pharmacological-therapies"
"nclex-rn-2026:ppt-high-alert-medication:objective-3","outcome","Monitor for therapeutic and adverse effects.","High-Alert Medication Administration | Pharmacological and Parenteral Therapies","High-Alert Medication Administration 3","decaying_average","65","active","nclex-rn-2026:pharmacological-therapies"
"nclex-rn-2026:rrp-transfusion-reaction:objective-1","outcome","Recognize findings associated with a possible transfusion reaction.","Recognition of an Acute Transfusion Reaction | Reduction of Risk Potential","Recognition of an Acute Transfusion Reaction 1","decaying_average","65","active","nclex-rn-2026:reduction-of-risk"
"nclex-rn-2026:rrp-transfusion-reaction:objective-2","outcome","Sequence immediate nursing actions.","Recognition of an Acute Transfusion Reaction | Reduction of Risk Potential","Recognition of an Acute Transfusion Reaction 2","decaying_average","65","active","nclex-rn-2026:reduction-of-risk"
"nclex-rn-2026:rrp-transfusion-reaction:objective-3","outcome","Complete required notification and specimen/product handling.","Recognition of an Acute Transfusion Reaction | Reduction of Risk Potential","Recognition of an Acute Transfusion Reaction 3","decaying_average","65","active","nclex-rn-2026:reduction-of-risk"
"nclex-rn-2026:pa-sepsis-recognition:objective-1","outcome","Recognize clinical deterioration consistent with possible sepsis.","Early Recognition and Escalation of Sepsis | Physiological Adaptation","Early Recognition and Escalation of Sepsis 1","decaying_average","65","active","nclex-rn-2026:physiological-adaptation"
"nclex-rn-2026:pa-sepsis-recognition:objective-2","outcome","Prioritize immediate assessment and escalation.","Early Recognition and Escalation of Sepsis | Physiological Adaptation","Early Recognition and Escalation of Sepsis 2","decaying_average","65","active","nclex-rn-2026:physiological-adaptation"
"nclex-rn-2026:pa-sepsis-recognition:objective-3","outcome","Evaluate response to time-sensitive interventions.","Early Recognition and Escalation of Sepsis | Physiological Adaptation","Early Recognition and Escalation of Sepsis 3","decaying_average","65","active","nclex-rn-2026:physiological-adaptation"
