module_number,concept,recommended_action,task_count,bridge_count,review_count,confident_count,review_rate,dominant_review_reason,review_reason_counts,top_proposed_qsen_ids,source_anchor,review_decision,reviewer_notes
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,132,132,132,0,1.0,no_confident_match,no_confident_match=132,,"WPS process: *CIP Code; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T40:R2; wps_competency_2074.docx#T40:R3; wps_competency_2074.docx#T40:R4; wps_competency_2074.docx#T40:R5; wps_competency_2074.docx#T40:R6; wps_competency_2074.docx#T40:R7; wps_competency_2074.docx#T40:R8; wps_competency_2074.docx#T40:R9; wps_competency_2074.docx#T40:R10; wps_competency_2074.docx#T40:R11; wps_competency_2074.docx#T40:R12; wps_competency_2074.docx#T40:R13; +120 more; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0014=6,"WPS process: Administer anesthetics or sedatives to control pain.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T29:R3; wps_competency_3056.docx#T29:R3; wps_hybrid_2074.docx#T29:R2; wps_hybrid_3056.docx#T29:R2; wps_time_2074.docx#T29:R2; wps_time_3056.docx#T29:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0192=6,"WPS process: Administer non-intravenous medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T4:R3; wps_competency_3056.docx#T4:R3; wps_hybrid_2074.docx#T4:R2; wps_hybrid_3056.docx#T4:R2; wps_time_2074.docx#T4:R2; wps_time_3056.docx#T4:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0104=6,"WPS process: Advise communities or institutions regarding health or safety issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T37:R3; wps_competency_3056.docx#T37:R3; wps_hybrid_2074.docx#T37:R2; wps_hybrid_3056.docx#T37:R2; wps_time_2074.docx#T37:R2; wps_time_3056.docx#T37:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-005,Advise medical personnel regarding healthcare issues.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0036=6,"WPS process: Advise medical personnel regarding healthcare issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T14:R3; wps_competency_3056.docx#T14:R3; wps_hybrid_2074.docx#T14:R2; wps_hybrid_3056.docx#T14:R2; wps_time_2074.docx#T14:R2; wps_time_3056.docx#T14:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-006,Analyze test data or images to inform diagnosis or treatment.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0151=6,"WPS process: Analyze test data or images to inform diagnosis or treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T15:R3; wps_competency_3056.docx#T15:R3; wps_hybrid_2074.docx#T15:R2; wps_hybrid_3056.docx#T15:R2; wps_time_2074.docx#T15:R2; wps_time_3056.docx#T15:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-007,"Assess patient work, living, or social environments.",mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0136=6,"WPS process: Assess patient work, living, or social environments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T28:R3; wps_competency_3056.docx#T28:R3; wps_hybrid_2074.docx#T28:R2; wps_hybrid_3056.docx#T28:R2; wps_time_2074.docx#T28:R2; wps_time_3056.docx#T28:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-008,Assist healthcare practitioners during examinations or treatments.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0018=6,"WPS process: Assist healthcare practitioners during examinations or treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T30:R3; wps_competency_3056.docx#T30:R3; wps_hybrid_2074.docx#T30:R2; wps_hybrid_3056.docx#T30:R2; wps_time_2074.docx#T30:R2; wps_time_3056.docx#T30:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-009,Collaborate with healthcare professionals to plan or provide treatment.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0132=6,"WPS process: Collaborate with healthcare professionals to plan or provide treatment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T9:R3; wps_competency_3056.docx#T9:R3; wps_hybrid_2074.docx#T9:R2; wps_hybrid_3056.docx#T9:R2; wps_time_2074.docx#T9:R2; wps_time_3056.docx#T9:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-010,Communicate health and wellness information to the public.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0117=6,"WPS process: Communicate health and wellness information to the public.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T21:R3; wps_competency_3056.docx#T21:R3; wps_hybrid_2074.docx#T21:R2; wps_hybrid_3056.docx#T21:R2; wps_time_2074.docx#T21:R2; wps_time_3056.docx#T21:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
