,,Safety and Infection Control,Basic Care and Comfort,Pharmacological and Parenteral Therapies,Physiological Adaptation,Health Promotion and Maintenance,Psychosocial Integrity,Reduction of Risk Potential,Management of Care
Nurse Logic,,X,X,X,X,X,X,X,X
Nurse Logic Showcase,Knowledge and Clinical Judgment  ,,,,,,,,
,Nursing Concepts  ,X,X,X,X,X,X,X,X
,Priority Setting Skills  ,X,X,X,X,X,X,X,X
 ,Testing and Remediation  ,,,,,,,,
Achieve  ,,X,X,X,X,X,X,X,X
Achieve Showcase,Classroom Skills ,,,,,,,,
,Test-Taking Skills ,,,,,,,,
,Preparing for Clinical Experiences ,,,,,,,,
 ,Challenges for ESL Learners  ,,,,,,,,
 ,Study Skills ,,,,,,,,
"Learning System 3.0: Practice, Final and Dynamic Quizzing ",,X,X,X,X,X,X,X,X
Learning System Showcase,Communication  ,X,X,X,X,X,X,X,X
,Fundamentals 1 ,X,X,X,X,X,X,X,X
,Fundamentals 2 ,X,X,X,X,X,X,X,X
 ,Gerontology ,X,X,X,X,X,X,X,X
 ,MS: Cardio & Hematology ,X,X,X,X,X,X,X,X
 ,MS: Dermatological,X,X,X,X,X,X,X,X
 ,MS: Endocrine ,X,X,X,X,X,X,X,X
 ,MS: Gastrointestinal,X,X,X,X,X,X,X,X
 ,MS: Immune & Infectious ,X,X,X,X,X,X,X,X
 ,MS: Musculoskeletal ,X,X,X,X,X,X,X,X
 ,MS: Neurosensory ,X,X,X,X,X,X,X,X
 ,MS: Oncology ,X,X,X,X,X,X,X,X
 ,MS: Renal & Urinary ,X,X,X,X,X,X,X,X
 ,MS: Respiratory ,X,X,X,X,X,X,X,X
 ,Pharmacology ,X,X,X,X,X,X,X,X
 ,Communication Final ,X,X,X,X,X,X,X,X
 ,Gerontology Final ,X,X,X,X,X,X,X,X
 ,Management Final ,X,X,X,X,X,X,X,X
 ,Maternal Newborn Final ,X,X,X,X,X,X,X,X
 ,Medical Surgical Final ,X,X,X,X,X,X,X,X
 ,Mental Health Final ,X,X,X,X,X,X,X,X
 ,Comprehensive Final - Last Semester,X,X,X,X,X,X,X,X
 ,Nursing Care of Children Final ,X,X,X,X,X,X,X,X
,Pharmacology Final ,X,X,X,X,X,X,X,X
Dosage Calculation & Safe Medication Administration ,,X,X,X,X,X,X,X,X
Dosage Calculations Showcase,Safe Dosage ,,X,,,,X,,
,Medication Administration ,,X,,,,X,,
,Oral Medications ,,X,,,,X,,
 ,Injectable Medications ,,X,,,,X,,
 ,Powdered Medications ,,X,,,,X,,
 ,Parenteral (IV) Medications ,,X,,,,X,,
 ,Dosages by Weight ,,X,,,,X,,
 ,Pediatric Medications ,,X,,,,X,,
 ,Critical Care Medications ,,X,,,,X,,
Dosage Calculation: Case Studies ,,X,X,X,X,X,X,X,X
 ,Diabetes ,X,,,,,,,X
 ,Leukopenia,X,,,,,,,X
 ,Pediatric Asthma ,X,,,,,,,X
 ,Acute MI ,X,,,,,,,X
 ,Advanced Alzheimer’s Disease ,X,,,X,,,,X
 ,Bipolar ,X,,,X,,,,X
 ,Pediatric Ear Infection/Dehydration ,X,X,X,,,,,X
 ,Preeclampsia ,X,,,,,,,X
 ,AIDS ,X,,,X,,,,X
Civility Mentor  ,,X,X,X,X,X,X,X,X
Civility Mentor Showcase,Foundations of professionalism and civility ,X,,,,,,,
,Professionalism and civility in the academic environment ,X,,,,,,,
,Civility and patient safety in the clinical environment ,X,X,,,,,,
 ,Professionalism and civility in nursing practice ,X,,,,,,,
Pharmacology Made Easy  ,,X,X,X,X,X,X,X,X
Pharmacology Made Easy Showcase,Introduction to Pharmacology ,,,,,,X,,
,The Neurological System (Part 1) ,,,,,,X,,X
,The Neurological System (Part 2) ,,,,,,X,,X
 ,The Musculoskeletal System ,,,,,,X,,X
 ,The Respiratory System ,,,,,,X,,X
 ,The Cardiovascular System ,,,,,,X,,X
 ,The Hematologic System ,,,,,,X,,X
 ,The Gastrointestinal System ,,,,,,X,,X
 ,The Reproductive and Genitourinary System,,,,,,X,,X
 ,The Endocrine System ,,,,,,X,,X
 ,The Immune System ,,X,,,,X,,X
 ,Pain and Inflammation ,,,,,,X,,X
 ,Infection ,,X,,,,X,,X
Skills Modules,,X,X,X,X,X,X,X,X
Skills Modules Showcase,Nasogastric Tube ,,,,,,,,X
,Comprehensive Physical Assessment of an Adult ,,,,,,,,X
,Airway Management ,,,,,,,,X
,Mobility ,,,,,,,,X
,Infection Control ,,X,,,,,,X
,HIPAA ,X,,,,,,,X
,Closed-Chest Drainage ,,,,,,,,X
,Central Venous Access Devices ,,,,,,,,X
,Enteral Tube Feeding ,,,X,,X,,,X
,Diabetes Mellitus Management ,X,,X,,,,,X
,Blood Administration ,,,,,,,,X
,Maternal Newborn ,,,,,X,,,X
,IV Therapy & Peripheral Access,,,,,,X,,X
,"Health Care Fraud, Waste, and Abuse Prevention ",X,,,,,,,
,Concepts of Medication Administration,,,,,,X,,
,Oral and Topical Medication Administration,,,,,,X,,
,Injectable Medication Administration,,,,,,X,,
,Intravenous Medication Administration,,,,,,X,,
,Nutrition,,,,,X,,,
,Ostomy Care ,,,,,X,,,X
,Oxygen Therapy ,,,,,X,,,X
,Pain Management ,,,X,,,,,X
,Personal Hygiene ,X,,,,,,,X
,Comprehensive Physical Assessment of a Child ,,,X,,,,,X
,Specimen Collection ,,X,,,,,,X
,Surgical Asepsis ,,X,,,,,,X
,Urinary Elimination,,,,,X,,,X
,Vital Signs ,,,,,,,,X
,Wound Care ,,X,,,,,,X
,Bowel Elimination ,,,,,X,,,X
,Virtual Scenario: Pain Assessment,,,,,,,,X
,Virtual Scenario: HIPAA,X,,,,,,,X
,Virtual Scenario: Vital Signs,,,,,,,,X
,Virtual Scenario: Nutrition,,,,,X,,,X
,Virtual Scenario: Blood Transfusion,,,,,,,,X
Nurse's Touch: Wellness and Self-Care ,,X,X,X,X,X,X,X,X
 ,"Wellness, Health Promotion, and Disease Prevention ",X,,X,,X,,,
 ,"Stress: Causes, Effects, and Management ",X,,X,,X,,,
 ,Self-Care: Eating Healthy and Maintaining a Healthy Weight ,X,,X,,X,,,
 ,Self-Care: Physical Activity ,,,X,,X,,,
